theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-12-18,11.4500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-12-11,9.5900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-12-04,6.0700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-11-27,2.9400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-11-20,1.9700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-11-13,1.7400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-11-06,1.9400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-10-30,1.5500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-10-23,1.1100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-10-16,1.0300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-10-09,1.1000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-10-02,1.1000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-09-25,0.6100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-09-18,0.8300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-09-11,1.1100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-09-04,0.8200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-08-28,0.5300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-08-21,0.5600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-08-14,0.5000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-08-07,1.1000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-07-31,0.3500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-07-24,0.7200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-07-17,0.7300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-07-10,0.5700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-07-03,0.6400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-06-26,0.3400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-06-19,0.6000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-06-12,0.4700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-06-05,0.4900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-05-29,0.4000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-05-22,0.6600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-05-15,0.4100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-05-08,0.8800,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-05-01,0.9400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-04-24,1.0600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-04-17,0.9400,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-04-10,1.1000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-04-03,1.6200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-03-27,1.6100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-03-20,1.6100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-03-13,2.1900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-03-06,2.5500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-02-27,1.9000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-02-20,2.3700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-02-13,2.5500,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2023,2023-02-06,2.0300,False
